"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2004","36","36000","New York","18,906,581","2,741,524","2,609,880","2,873,169","2,609,880 to 2,873,169","14.5","13.8","15.2","13.8 to 15.2","4,529,532","940,974","877,120","1,004,828","877,120 to 1,004,828","20.8","19.4","22.2","19.4 to 22.2","3,248,328","638,113","581,150","695,076","581,150 to 695,076","19.6","17.9","21.4","17.9 to 21.4","1,233,592","278,837","249,561","308,113","249,561 to 308,113","22.6","20.2","25.0","20.2 to 25.0","$45,343","$44,132","$46,553","$44,132 to $46,553"
"2003","36","36000","New York","18,852,353","2,700,431","2,591,959","2,808,903","2,591,959 to 2,808,903","14.3","13.7","14.9","13.7 to 14.9","4,540,773","916,300","861,581","971,019","861,581 to 971,019","20.2","19.0","21.4","19.0 to 21.4","3,264,202","638,992","595,713","682,271","595,713 to 682,271","19.6","18.2","20.9","18.2 to 20.9","1,219,549","254,079","220,966","287,193","220,966 to 287,193","20.8","18.1","23.5","18.1 to 23.5","$44,139","$42,842","$45,436","$42,842 to $45,436"
"2002","36","36000","New York","18,836,410","2,611,154","2,504,832","2,717,475","2,504,832 to 2,717,475","13.9","13.3","14.4","13.3 to 14.4","4,491,721","906,387","852,547","960,228","852,547 to 960,228","20.2","19.0","21.4","19.0 to 21.4","3,206,914","609,201","563,292","655,110","563,292 to 655,110","19.0","17.6","20.4","17.6 to 20.4","1,198,552","267,074","239,098","295,049","239,098 to 295,049","22.3","19.9","24.6","19.9 to 24.6","$42,765","$41,447","$44,083","$41,447 to $44,083"
"2001","36","36000","New York","18,725,476","2,563,440","2,460,989","2,665,891","2,460,989 to 2,665,891","13.7","13.1","14.2","13.1 to 14.2","4,518,354","879,504","817,374","941,635","817,374 to 941,635","19.5","18.1","20.8","18.1 to 20.8","3,267,549","598,950","543,632","654,268","543,632 to 654,268","18.3","16.6","20.0","16.6 to 20.0","1,191,100","251,848","227,716","275,980","227,716 to 275,980","21.1","19.1","23.2","19.1 to 23.2","$43,149","$41,930","$44,368","$41,930 to $44,368"
"2000","36","36000","New York","18,687,015","2,466,704","2,360,696","2,572,712","2,360,696 to 2,572,712","13.2","12.6","13.8","12.6 to 13.8","4,578,731","873,087","817,383","928,792","817,383 to 928,792","19.1","17.9","20.3","17.9 to 20.3","3,314,528","605,381","556,672","654,090","556,672 to 654,090","18.3","16.8","19.7","16.8 to 19.7","1,212,382","242,540","216,103","268,977","216,103 to 268,977","20.0","17.8","22.2","17.8 to 22.2","$41,763","$40,369","$43,157","$40,369 to $43,157"
"2012","37","37000","North Carolina","9,498,969","1,706,255","1,681,208","1,731,302","1,681,208 to 1,731,302","18.0","17.7","18.3","17.7 to 18.3","2,255,333","581,594","569,022","594,166","569,022 to 594,166","25.8","25.2","26.4","25.2 to 26.4","1,638,257","392,122","380,636","403,608","380,636 to 403,608","23.9","23.2","24.6","23.2 to 24.6","608,890","181,415","176,187","186,643","176,187 to 186,643","29.8","28.9","30.7","28.9 to 30.7","$45,195","$44,809","$45,581","$44,809 to $45,581"
"2011","37","37000","North Carolina","9,406,123","1,673,627","1,648,911","1,698,343","1,648,911 to 1,698,343","17.8","17.5","18.1","17.5 to 18.1","2,261,567","573,679","558,649","588,709","558,649 to 588,709","25.4","24.7","26.1","24.7 to 26.1","1,633,048","380,911","367,897","393,925","367,897 to 393,925","23.3","22.5","24.1","22.5 to 24.1","620,521","184,915","177,184","192,646","177,184 to 192,646","29.8","28.6","31.0","28.6 to 31.0","$44,028","$43,522","$44,534","$43,522 to $44,534"
"2010","37","37000","North Carolina","9,304,575","1,618,597","1,596,260","1,640,934","1,596,260 to 1,640,934","17.4","17.2","17.6","17.2 to 17.6","2,249,819","554,191","540,569","567,813","540,569 to 567,813","24.6","24.0","25.2","24.0 to 25.2","1,616,588","366,148","354,108","378,188","354,108 to 378,188","22.6","21.9","23.3","21.9 to 23.3","623,543","178,823","172,350","185,296","172,350 to 185,296","28.7","27.7","29.7","27.7 to 29.7","$43,417","$43,053","$43,781","$43,053 to $43,781"
"2009","37","37000","North Carolina","9,095,863","1,475,063","1,453,163","1,496,963","1,453,163 to 1,496,963","16.2","16.0","16.5","16.0 to 16.5","2,242,738","503,713","490,811","516,615","490,811 to 516,615","22.5","21.9","23.0","21.9 to 23.0","1,580,766","321,503","310,244","332,762","310,244 to 332,762","20.3","19.6","21.1","19.6 to 21.1","650,351","172,447","165,988","178,906","165,988 to 178,906","26.5","25.5","27.5","25.5 to 27.5","$43,754","$43,385","$44,124","$43,385 to $44,124"
"2008","37","37000","North Carolina","8,947,509","1,301,882","1,279,051","1,324,712","1,279,051 to 1,324,712","14.6","14.3","14.8","14.3 to 14.8","2,212,707","440,281","426,995","453,567","426,995 to 453,567","19.9","19.3","20.5","19.3 to 20.5","1,558,480","282,961","271,412","294,510","271,412 to 294,510","18.2","17.4","18.9","17.4 to 18.9","642,257","147,112","140,644","153,581","140,644 to 153,581","22.9","21.9","23.9","21.9 to 23.9","$46,574","$46,156","$46,992","$46,156 to $46,992"
"2007","37","37000","North Carolina","8,793,210","1,256,867","1,236,383","1,277,350","1,236,383 to 1,277,350","14.3","14.1","14.5","14.1 to 14.5","2,186,320","427,221","415,585","438,857","415,585 to 438,857","19.5","19.0","20.1","19.0 to 20.1","1,545,902","275,164","265,262","285,066","265,262 to 285,066","17.8","17.2","18.4","17.2 to 18.4","627,176","141,506","135,216","147,795","135,216 to 147,795","22.6","21.6","23.6","21.6 to 23.6","$44,772","$44,349","$45,194","$44,349 to $45,194"
"2006","37","37000","North Carolina","8,591,270","1,256,624","1,236,931","1,276,316","1,236,931 to 1,276,316","14.6","14.4","14.9","14.4 to 14.9","2,123,375","426,469","414,382","438,555","414,382 to 438,555","20.1","19.5","20.7","19.5 to 20.7","1,507,978","275,274","264,915","285,633","264,915 to 285,633","18.3","17.6","18.9","17.6 to 18.9","601,913","140,125","134,132","146,119","134,132 to 146,119","23.3","22.3","24.3","22.3 to 24.3","$42,721","$42,294","$43,148","$42,294 to $43,148"
"2005","37","37000","North Carolina","8,381,053","1,247,292","1,226,979","1,267,606","1,226,979 to 1,267,606","14.9","14.6","15.1","14.6 to 15.1","2,103,809","438,050","424,478","451,622","424,478 to 451,622","20.8","20.2","21.5","20.2 to 21.5","1,494,066","287,894","275,873","299,915","275,873 to 299,915","19.3","18.5","20.1","18.5 to 20.1","597,051","138,820","132,671","144,968","132,671 to 144,968","23.3","22.2","24.3","22.2 to 24.3","$40,781","$40,467","$41,096","$40,467 to $41,096"
"2004","37","37000","North Carolina","8,482,242","1,173,969","1,104,005","1,243,933","1,104,005 to 1,243,933","13.8","13.0","14.7","13.0 to 14.7","2,130,492","398,952","364,990","432,914","364,990 to 432,914","18.7","17.1","20.3","17.1 to 20.3","1,490,552","252,410","222,618","282,202","222,618 to 282,202","16.9","14.9","18.9","14.9 to 18.9","600,649","129,068","113,579","144,556","113,579 to 144,556","21.5","18.9","24.1","18.9 to 24.1","$40,863","$39,525","$42,200","$39,525 to $42,200"
"2003","37","37000","North Carolina","8,337,231","1,118,214","1,055,493","1,180,936","1,055,493 to 1,180,936","13.4","12.7","14.2","12.7 to 14.2","2,107,620","402,462","370,492","434,432","370,492 to 434,432","19.1","17.6","20.6","17.6 to 20.6","1,482,915","248,492","226,723","270,261","226,723 to 270,261","16.8","15.3","18.2","15.3 to 18.2","589,422","139,464","116,827","162,101","116,827 to 162,101","23.7","19.8","27.5","19.8 to 27.5","$39,438","$37,974","$40,902","$37,974 to $40,902"
"2002","37","37000","North Carolina","8,230,139","1,058,423","998,305","1,118,540","998,305 to 1,118,540","12.9","12.1","13.6","12.1 to 13.6","2,079,253","360,981","331,181","390,781","331,181 to 390,781","17.4","15.9","18.8","15.9 to 18.8","1,472,405","231,696","207,546","255,846","207,546 to 255,846","15.7","14.1","17.4","14.1 to 17.4","582,904","118,554","101,540","135,569","101,540 to 135,569","20.3","17.4","23.3","17.4 to 23.3","$38,194","$36,566","$39,822","$36,566 to $39,822"
"2001","37","37000","North Carolina","8,100,875","964,661","916,142","1,013,180","916,142 to 1,013,180","11.9","11.3","12.5","11.3 to 12.5","2,037,515","334,903","303,255","366,552","303,255 to 366,552","16.4","14.9","18.0","14.9 to 18.0","1,439,851","212,069","184,367","239,771","184,367 to 239,771","14.7","12.8","16.7","12.8 to 16.7","567,791","106,628","94,209","119,046","94,209 to 119,046","18.8","16.6","21.0","16.6 to 21.0","$39,072","$37,746","$40,398","$37,746 to $40,398"
"2000","37","37000","North Carolina","8,007,626","934,374","886,338","982,411","886,338 to 982,411","11.7","11.1","12.3","11.1 to 12.3","2,006,976","330,226","304,833","355,619","304,833 to 355,619","16.5","15.2","17.7","15.2 to 17.7","1,420,175","210,029","188,725","231,333","188,725 to 231,333","14.8","13.3","16.3","13.3 to 16.3","561,459","106,038","92,256","119,819","92,256 to 119,819","18.9","16.4","21.3","16.4 to 21.3","$38,889","$37,286","$40,491","$37,286 to $40,491"
"2012","38","38000","North Dakota","674,845","75,251","72,056","78,446","72,056 to 78,446","11.2","10.7","11.7","10.7 to 11.7","151,313","20,684","19,312","22,056","19,312 to 22,056","13.7","12.8","14.6","12.8 to 14.6","105,583","12,555","11,414","13,696","11,414 to 13,696","11.9","10.8","13.0","10.8 to 13.0","45,104","7,563","6,805","8,321","6,805 to 8,321","16.8","15.1","18.5","15.1 to 18.5","$54,579","$53,273","$55,885","$53,273 to $55,885"
"2011","38","38000","North Dakota","660,484","79,124","75,674","82,574","75,674 to 82,574","12.0","11.5","12.5","11.5 to 12.5","148,819","22,034","20,407","23,661","20,407 to 23,661","14.8","13.7","15.9","13.7 to 15.9","103,626","12,766","11,528","14,004","11,528 to 14,004","12.3","11.1","13.5","11.1 to 13.5","44,076","8,386","7,354","9,418","7,354 to 9,418","19.0","16.7","21.3","16.7 to 21.3","$52,135","$51,032","$53,238","$51,032 to $53,238"
"2010","38","38000","North Dakota","651,420","81,176","77,653","84,699","77,653 to 84,699","12.5","12.0","13.0","12.0 to 13.0","148,213","23,330","21,613","25,047","21,613 to 25,047","15.7","14.5","16.9","14.5 to 16.9","103,296","14,149","12,660","15,638","12,660 to 15,638","13.7","12.3","15.1","12.3 to 15.1","44,158","8,507","7,645","9,369","7,645 to 9,369","19.3","17.3","21.3","17.3 to 21.3","$48,878","$47,689","$50,067","$47,689 to $50,067"
"2009","38","38000","North Dakota","620,797","72,911","69,510","76,312","69,510 to 76,312","11.7","11.2","12.3","11.2 to 12.3","141,889","20,022","18,467","21,576","18,467 to 21,576","14.1","13.0","15.2","13.0 to 15.2","98,493","11,733","10,457","13,009","10,457 to 13,009","11.9","10.6","13.2","10.6 to 13.2","42,688","7,679","6,821","8,537","6,821 to 8,537","18.0","16.0","20.0","16.0 to 20.0","$47,898","$47,011","$48,785","$47,011 to $48,785"
"2008","38","38000","North Dakota","615,392","70,654","67,452","73,855","67,452 to 73,855","11.5","11.0","12.0","11.0 to 12.0","141,001","20,023","18,479","21,568","18,479 to 21,568","14.2","13.1","15.3","13.1 to 15.3","98,654","11,754","10,354","13,154","10,354 to 13,154","11.9","10.5","13.3","10.5 to 13.3","41,183","7,483","6,752","8,213","6,752 to 8,213","18.2","16.4","19.9","16.4 to 19.9","$45,996","$45,071","$46,921","$45,071 to $46,921"
"2007","38","38000","North Dakota","612,570","72,242","69,158","75,326","69,158 to 75,326","11.8","11.3","12.3","11.3 to 12.3","140,492","19,683","18,282","21,083","18,282 to 21,083","14.0","13.0","15.0","13.0 to 15.0","100,046","11,671","10,440","12,902","10,440 to 12,902","11.7","10.4","12.9","10.4 to 12.9","39,511","7,148","6,501","7,794","6,501 to 7,794","18.1","16.5","19.7","16.5 to 19.7","$43,936","$42,915","$44,958","$42,915 to $44,958"
"2006","38","38000","North Dakota","605,871","71,059","68,259","73,860","68,259 to 73,860","11.7","11.3","12.2","11.3 to 12.2","141,025","19,809","18,493","21,126","18,493 to 21,126","14.0","13.1","15.0","13.1 to 15.0","101,319","12,125","10,950","13,300","10,950 to 13,300","12.0","10.8","13.1","10.8 to 13.1","38,826","6,808","6,174","7,442","6,174 to 7,442","17.5","15.9","19.2","15.9 to 19.2","$41,852","$40,987","$42,716","$40,987 to $42,716"
"2005","38","38000","North Dakota","607,255","70,588","67,759","73,416","67,759 to 73,416","11.6","11.2","12.1","11.2 to 12.1","133,459","19,349","17,994","20,705","17,994 to 20,705","14.5","13.5","15.5","13.5 to 15.5","96,506","11,872","10,754","12,990","10,754 to 12,990","12.3","11.1","13.5","11.1 to 13.5","36,102","6,817","6,141","7,493","6,141 to 7,493","18.9","17.0","20.8","17.0 to 20.8","$40,818","$40,163","$41,472","$40,163 to $41,472"
"2004","38","38000","North Dakota","623,501","67,625","61,583","73,667","61,583 to 73,667","10.8","9.9","11.8","9.9 to 11.8","136,655","18,514","16,117","20,910","16,117 to 20,910","13.5","11.8","15.3","11.8 to 15.3","97,481","10,712","8,639","12,785","8,639 to 12,785","11.0","8.9","13.1","8.9 to 13.1","36,687","6,589","5,413","7,764","5,413 to 7,764","18.0","14.8","21.2","14.8 to 21.2","$39,233","$37,767","$40,699","$37,767 to $40,699"
"2003","38","38000","North Dakota","620,602","65,063","59,970","70,156","59,970 to 70,156","10.5","9.7","11.3","9.7 to 11.3","138,803","18,640","16,527","20,753","16,527 to 20,753","13.4","11.9","15.0","11.9 to 15.0","101,222","11,245","9,677","12,813","9,677 to 12,813","11.1","9.6","12.7","9.6 to 12.7","35,365","6,600","5,233","7,967","5,233 to 7,967","18.7","14.8","22.5","14.8 to 22.5","$38,223","$36,622","$39,823","$36,622 to $39,823"
"2002","38","38000","North Dakota","620,704","68,625","63,754","73,496","63,754 to 73,496","11.1","10.3","11.8","10.3 to 11.8","146,159","20,220","17,974","22,466","17,974 to 22,466","13.8","12.3","15.4","12.3 to 15.4","108,140","12,869","10,931","14,807","10,931 to 14,807","11.9","10.1","13.7","10.1 to 13.7","36,826","6,672","5,511","7,833","5,511 to 7,833","18.1","15.0","21.3","15.0 to 21.3","$36,223","$34,534","$37,911","$34,534 to $37,911"
"2001","38","38000","North Dakota","618,676","70,488","65,739","75,237","65,739 to 75,237","11.4","10.6","12.2","10.6 to 12.2","147,653","21,447","18,648","24,246","18,648 to 24,246","14.5","12.6","16.4","12.6 to 16.4","109,779","13,593","11,117","16,069","11,117 to 16,069","12.4","10.1","14.6","10.1 to 14.6","36,432","6,775","5,703","7,847","5,703 to 7,847","18.6","15.7","21.5","15.7 to 21.5","$36,177","$34,738","$37,617","$34,738 to $37,617"
"2000","38","38000","North Dakota","621,472","64,809","60,381","69,238","60,381 to 69,238","10.4","9.7","11.1","9.7 to 11.1","149,475","19,524","17,434","21,613","17,434 to 21,613","13.1","11.7","14.5","11.7 to 14.5","111,567","11,661","9,865","13,457","9,865 to 13,457","10.5","8.8","12.1","8.8 to 12.1","36,542","7,056","5,990","8,122","5,990 to 8,122","19.3","16.4","22.2","16.4 to 22.2","$35,636","$33,890","$37,382","$33,890 to $37,382"
"2012","39","39000","Ohio","11,227,437","1,818,886","1,797,356","1,840,416","1,797,356 to 1,840,416","16.2","16.0","16.4","16.0 to 16.4","2,615,367","617,006","603,764","630,248","603,764 to 630,248","23.6","23.1","24.1","23.1 to 24.1","1,922,165","411,818","400,008","423,628","400,008 to 423,628","21.4","20.8","22.0","20.8 to 22.0","679,930","192,591","186,623","198,559","186,623 to 198,559","28.3","27.4","29.2","27.4 to 29.2","$46,873","$46,582","$47,164","$46,582 to $47,164"
"2011","39","39000","Ohio","11,234,064","1,836,098","1,811,265","1,860,931","1,811,265 to 1,860,931","16.3","16.1","16.5","16.1 to 16.5","2,649,293","634,234","618,946","649,522","618,946 to 649,522","23.9","23.3","24.5","23.3 to 24.5","1,937,723","417,165","404,352","429,978","404,352 to 429,978","21.5","20.8","22.2","20.8 to 22.2","698,073","205,132","197,444","212,820","197,444 to 212,820","29.4","28.3","30.5","28.3 to 30.5","$45,803","$45,487","$46,119","$45,487 to $46,119"
"2010","39","39000","Ohio","11,224,913","1,771,404","1,746,640","1,796,168","1,746,640 to 1,796,168","15.8","15.6","16.0","15.6 to 16.0","2,678,989","619,354","604,905","633,803","604,905 to 633,803","23.1","22.6","23.6","22.6 to 23.6","1,960,986","407,567","394,584","420,550","394,584 to 420,550","20.8","20.1","21.5","20.1 to 21.5","705,656","199,674","192,989","206,359","192,989 to 206,359","28.3","27.4","29.2","27.4 to 29.2","$45,151","$44,860","$45,442","$44,860 to $45,442"
"2009","39","39000","Ohio","11,225,160","1,699,288","1,673,917","1,724,660","1,673,917 to 1,724,660","15.1","14.9","15.4","14.9 to 15.4","2,671,682","577,026","562,062","591,990","562,062 to 591,990","21.6","21.0","22.2","21.0 to 22.2","1,931,078","371,431","358,289","384,573","358,289 to 384,573","19.2","18.6","19.9","18.6 to 19.9","727,073","193,000","186,032","199,969","186,032 to 199,969","26.5","25.6","27.5","25.6 to 27.5","$45,467","$45,121","$45,813","$45,121 to $45,813"
"2008","39","39000","Ohio","11,172,159","1,489,314","1,466,921","1,511,707","1,466,921 to 1,511,707","13.3","13.1","13.5","13.1 to 13.5","2,690,713","496,890","483,476","510,304","483,476 to 510,304","18.5","18.0","19.0","18.0 to 19.0","1,948,770","315,873","304,603","327,143","304,603 to 327,143","16.2","15.6","16.8","15.6 to 16.8","728,969","168,643","161,859","175,428","161,859 to 175,428","23.1","22.2","24.1","22.2 to 24.1","$48,011","$47,695","$48,326","$47,695 to $48,326"
"2007","39","39000","Ohio","11,151,371","1,458,625","1,436,688","1,480,562","1,436,688 to 1,480,562","13.1","12.9","13.3","12.9 to 13.3","2,701,298","497,554","483,970","511,139","483,970 to 511,139","18.4","17.9","18.9","17.9 to 18.9","1,964,128","323,397","311,542","335,252","311,542 to 335,252","16.5","15.9","17.1","15.9 to 17.1","722,443","160,400","153,594","167,206","153,594 to 167,206","22.2","21.3","23.1","21.3 to 23.1","$46,645","$46,344","$46,946","$46,344 to $46,946"
"2006","39","39000","Ohio","11,156,061","1,475,788","1,450,517","1,501,058","1,450,517 to 1,501,058","13.2","13.0","13.5","13.0 to 13.5","2,717,164","502,846","488,389","517,302","488,389 to 517,302","18.5","18.0","19.0","18.0 to 19.0","1,980,581","325,254","312,506","338,002","312,506 to 338,002","16.4","15.8","17.1","15.8 to 17.1","721,053","163,320","156,831","169,809","156,831 to 169,809","22.7","21.8","23.6","21.8 to 23.6","$44,609","$44,263","$44,955","$44,263 to $44,955"
"2005","39","39000","Ohio","11,117,482","1,442,421","1,418,607","1,466,234","1,418,607 to 1,466,234","13.0","12.8","13.2","12.8 to 13.2","2,711,978","501,341","488,011","514,671","488,011 to 514,671","18.5","18.0","19.0","18.0 to 19.0","1,974,516","322,771","311,367","334,175","311,367 to 334,175","16.3","15.8","16.9","15.8 to 16.9","721,911","163,836","156,880","170,792","156,880 to 170,792","22.7","21.7","23.7","21.7 to 23.7","$43,547","$43,214","$43,880","$43,214 to $43,880"
"2004","39","39000","Ohio","11,249,853","1,313,682","1,229,892","1,397,472","1,229,892 to 1,397,472","11.7","10.9","12.4","10.9 to 12.4","2,756,277","463,954","422,900","505,009","422,900 to 505,009","16.8","15.3","18.3","15.3 to 18.3","1,987,812","288,329","253,096","323,562","253,096 to 323,562","14.5","12.7","16.3","12.7 to 16.3","728,580","157,817","137,288","178,345","137,288 to 178,345","21.7","18.8","24.5","18.8 to 24.5","$43,371","$42,128","$44,614","$42,128 to $44,614"
"2003","39","39000","Ohio","11,231,817","1,196,943","1,130,211","1,263,674","1,130,211 to 1,263,674","10.7","10.1","11.3","10.1 to 11.3","2,772,381","425,893","391,970","459,815","391,970 to 459,815","15.4","14.1","16.6","14.1 to 16.6","2,018,456","258,749","233,862","283,636","233,862 to 283,636","12.8","11.6","14.1","11.6 to 14.1","720,134","150,105","127,883","172,327","127,883 to 172,327","20.8","17.8","23.9","17.8 to 23.9","$43,119","$41,865","$44,373","$41,865 to $44,373"
"2002","39","39000","Ohio","11,219,466","1,147,950","1,080,222","1,215,678","1,080,222 to 1,215,678","10.2","9.6","10.8","9.6 to 10.8","2,798,743","378,143","341,484","414,802","341,484 to 414,802","13.5","12.2","14.8","12.2 to 14.8","2,039,134","238,368","206,929","269,807","206,929 to 269,807","11.7","10.1","13.2","10.1 to 13.2","729,018","126,354","107,369","145,340","107,369 to 145,340","17.3","14.7","19.9","14.7 to 19.9","$42,246","$40,764","$43,728","$40,764 to $43,728"
"2001","39","39000","Ohio","11,167,021","1,144,638","1,082,746","1,206,530","1,082,746 to 1,206,530","10.3","9.7","10.8","9.7 to 10.8","2,812,035","415,602","373,735","457,470","373,735 to 457,470","14.8","13.3","16.3","13.3 to 16.3","2,025,223","258,102","222,775","293,429","222,775 to 293,429","12.7","11.0","14.5","11.0 to 14.5","733,615","128,356","112,003","144,709","112,003 to 144,709","17.5","15.3","19.7","15.3 to 19.7","$41,780","$40,537","$43,022","$40,537 to $43,022"
